3,10,11,21,30,34,36,40,41,53,58,64,68,76,85,87,91,94,101,104,117,124
3,10,20,21,23,34,36,39,41,53,56,64,68,76,85,87,91,94,101,105,115,120
1,10,19,21,24,34,36,39,42,53,56,64,68,76,85,87,91,94,101,105,115,122
3,9,19,21,30,34,36,40,42,53,58,64,68,76,85,87,91,94,101,104,117,124
3,10,14,22,29,34,37,39,41,54,58,64,68,76,85,87,91,94,97,105,113,120
3,9,20,21,23,34,36,39,42,53,56,64,68,76,85,87,91,94,101,104,115,120
1,10,19,21,23,34,36,39,45,53,56,64,68,76,85,87,91,94,101,104,115,122
1,9,19,21,24,34,36,39,42,53,56,64,68,76,85,87,91,94,101,105,117,122
3,9,19,21,30,34,36,40,48,53,58,64,68,76,85,87,91,94,101,104,118,120
1,10,20,21,23,34,36,39,45,53,56,64,68,76,85,87,91,94,101,104,117,122
